1,1,794,470,70,96,1,-1,-1
1,2,431,160,36,67,1,-1,-1
1,3,839,187,34,60,1,-1,-1
1,4,392,422,65,78,1,-1,-1
1,5,140,266,50,81,1,-1,-1
1,6,1086,345,51,98,1,-1,-1
1,7,704,82,29,46,1,-1,-1
1,8,887,124,26,53,1,-1,-1
1,9,370,154,35,63,1,-1,-1
1,10,721,195,36,67,1,-1,-1
1,11,1134,253,47,85,1,-1,-1
1,12,1239,146,30,64,1,-1,-1
1,13,532,428,49,92,1,-1,-1
1,14,559,94,23,51,1,-1,-1
1,15,568,51,29,39,1,-1,-1
1,16,638,221,24,75,1,-1,-1
1,17,494,430,46,89,1,-1,-1
1,18,490,508,16,13,1,-1,-1
1,19,639,220,23,75,1,-1,-1
2,1,805,467,69,95,1,-1,-1
2,2,443,160,37,67,1,-1,-1
2,3,850,187,30,61,1,-1,-1
2,4,404,421,58,77,1,-1,-1
2,5,154,265,50,82,1,-1,-1
2,6,1090,344,59,97,1,-1,-1
2,7,718,83,28,45,1,-1,-1
2,8,900,125,23,52,1,-1,-1
2,9,382,155,37,61,1,-1,-1
2,10,732,194,31,69,1,-1,-1
2,11,1148,255,40,85,1,-1,-1
2,12,1252,147,28,64,1,-1,-1
2,13,531,428,50,90,1,-1,-1
2,14,570,95,26,50,1,-1,-1
2,15,582,51,28,39,1,-1,-1
2,16,651,221,22,75,1,-1,-1
2,17,499,431,40,89,1,-1,-1
2,19,651,221,22,75,1,-1,-1
3,1,814,465,70,95,1,-1,-1
3,2,456,160,38,67,1,-1,-1
3,3,862,187,29,61,1,-1,-1
3,4,416,419,46,80,1,-1,-1
3,5,165,264,51,83,1,-1,-1
3,6,1090,344,69,95,1,-1,-1
3,7,732,83,25,45,1,-1,-1
3,8,912,125,22,52,1,-1,-1
3,9,396,155,35,61,1,-1,-1
3,10,742,194,30,69,1,-1,-1
3,11,1159,256,34,84,1,-1,-1
3,12,1266,152,14,60,1,-1,-1
3,13,535,429,43,88,1,-1,-1
3,14,581,95,29,51,1,-1,-1
3,15,595,52,28,38,1,-1,-1
3,17,501,432,40,83,1,-1,-1
3,19,664,221,21,76,1,-1,-1
4,1,823,463,68,90,1,-1,-1
4,2,468,161,39,65,1,-1,-1
4,3,873,185,30,63,1,-1,-1
4,4,427,417,39,81,1,-1,-1
4,5,174,264,53,83,1,-1,-1
4,6,1087,343,59,96,1,-1,-1
4,7,745,83,21,44,1,-1,-1
4,8,924,125,21,51,1,-1,-1
4,9,409,154,35,62,1,-1,-1
4,10,752,193,31,71,1,-1,-1
4,11,1168,257,28,83,1,-1,-1
4,13,535,429,41,86,1,-1,-1
4,14,592,96,32,50,1,-1,-1
4,15,608,53,26,38,1,-1,-1
4,17,501,434,43,80,1,-1,-1
4,19,676,221,21,76,1,-1,-1
5,1,831,462,65,84,1,-1,-1
5,2,481,161,38,65,1,-1,-1
5,3,883,185,33,64,1,-1,-1
5,4,435,416,44,82,1,-1,-1
5,5,183,265,53,82,1,-1,-1
5,6,1087,344,53,96,1,-1,-1
5,7,758,83,18,45,1,-1,-1
5,8,936,125,22,51,1,-1,-1
5,9,423,154,32,62,1,-1,-1
5,10,761,192,34,73,1,-1,-1
5,11,1174,257,32,83,1,-1,-1
5,13,534,428,43,89,1,-1,-1
5,14,604,97,32,50,1,-1,-1
5,15,620,52,26,38,1,-1,-1
5,17,496,434,48,76,1,-1,-1
5,19,685,222,26,75,1,-1,-1
6,1,840,460,59,85,1,-1,-1
6,2,493,160,37,66,1,-1,-1
6,3,890,185,38,63,1,-1,-1
6,4,435,414,57,84,1,-1,-1
6,5,193,266,48,81,1,-1,-1
6,6,1095,346,44,95,1,-1,-1
6,7,771,83,15,44,1,-1,-1
6,8,948,124,23,54,1,-1,-1
6,9,436,154,28,61,1,-1,-1
6,10,770,193,36,73,1,-1,-1
6,11,1183,257,36,83,1,-1,-1
6,13,542,427,38,89,1,-1,-1
6,14,618,97,30,49,1,-1,-1
6,15,633,52,25,37,1,-1,-1
6,17,493,436,54,64,1,-1,-1
6,19,695,223,31,74,1,-1,-1
7,1,848,458,59,86,1,-1,-1
7,2,505,159,36,66,1,-1,-1
7,3,899,185,41,64,1,-1,-1
7,4,435,413,68,86,1,-1,-1
7,5,202,266,43,80,1,-1,-1
7,6,1108,348,30,94,1,-1,-1
7,7,782,83,18,44,1,-1,-1
7,8,960,124,24,54,1,-1,-1
7,9,449,154,23,60,1,-1,-1
7,10,781,194,37,72,1,-1,-1
7,11,1192,256,41,84,1,-1,-1
7,13,547,424,37,91,1,-1,-1
7,14,631,97,28,49,1,-1,-1
7,15,646,51,23,38,1,-1,-1
7,17,499,440,47,74,1,-1,-1
7,19,704,224,36,74,1,-1,-1
8,1,854,455,63,89,1,-1,-1
8,2,518,159,32,66,1,-1,-1
8,3,909,185,42,64,1,-1,-1
8,4,440,412,69,85,1,-1,-1
8,5,212,266,36,79,1,-1,-1
8,6,1115,348,42,90,1,-1,-1
8,7,795,83,18,44,1,-1,-1
8,8,972,124,25,55,1,-1,-1
8,9,461,154,19,61,1,-1,-1
8,10,792,195,35,71,1,-1,-1
8,11,1198,255,48,86,1,-1,-1
8,13,556,420,33,93,1,-1,-1
8,14,643,96,27,50,1,-1,-1
8,15,658,49,21,41,1,-1,-1
8,17,503,442,47,76,1,-1,-1
8,19,714,224,40,74,1,-1,-1
9,1,860,451,67,95,1,-1,-1
9,2,530,158,29,67,1,-1,-1
9,3,921,185,39,65,1,-1,-1
9,4,450,411,67,85,1,-1,-1
9,5,220,264,38,81,1,-1,-1
9,6,1118,347,40,92,1,-1,-1
9,7,806,83,21,45,1,-1,-1
9,8,984,125,24,55,1,-1,-1
9,9,473,153,19,61,1,-1,-1
9,10,804,197,29,70,1,-1,-1
9,11,1203,256,55,87,1,-1,-1
9,13,562,417,31,91,1,-1,-1
9,14,655,95,24,50,1,-1,-1
